0,Two Copy and Paste Functions,0
0,3D/Stereo preview on Hololens Emulator,0
0,Support To New Applications (New & Rising list),0
0,Allow WebView to access files in the Local folder,0
0,Ubuntu linux etc etc fusion,0
0,TextBox focus bug when inside ScrollViewer,0
0,UWP framework for Geolocation and Marker based Augmented Reality applications (in replacement of GART and SLART toolkits),0
0,Make System.Diagnostics.Trace Available For Windows Store Apps,0
0,Add Markup Extensions to (and Improve) WinRT Xaml System (System.Xaml Parity),0
0,The ability to read the entire notification in the notification center without the need to open the application,0
0,See and request submission credits from the dev center,0
0,Access to Settings Applets,0
0,windowsphone coordinate system of Mars controls mapcontrol,0
0,Please make lock screen better in WP8.1,0
0,Add helper for binding to and from Observables,0
0,Drag and drop for digital whiteboard,0
0,Need a DirectManipulationCompleting event for ScrollViewer,0
0,Allow UWP apps without .NET Native,0
0,ScatterView control to support the SurfaceHub / multiuser development,0
0,Support Vulkan GPU API on UWP,0
0,Allow to change the window size in LaunchUriForResultsAsync,0
0,DataPackage.SetDataProvider doesn't delay-render text on the Clipboard,0
0,Add functionality to snooze,0
0,"when pinning secondary tile on startscreen, let us also create a subgroup too...",0
0,PC emulator on Windows,0
0,Access/Invoke Point of Service (POS) peripheral devices through background tasks,0
0,in perfmon show minimum average and maximum in the list view,0
0,Provide the possibility of writing one's own background audio player or at least gapless playback in existing audio player,0
0,Merge HTML tags with XAML tags together,0
0,keyboard color options for a consistent and unique experience throughout the app.,0
0,provide granular access to install apps from windows store,0
0,Review an app without leaving it,0
0,Allow Developers to 'roll back' to a previous update without re-certification,0
0,Clarify the 'The VAT ID we have doesnt appear to work.' message,0
0,Fix media pipeline in Windows Phone 8.1,0
0,StatusBar is error prone,0
0,PointerPressed event only fired on right-click,0
0,its trash and it doesnt work please fix it,0
0,Let us delete addons in the partner center,0
0,"Improved Reports: More information (Uninstall rate, Usage, etc.)",0
0,Users with access rights role of release manager,0
0,"Add ""nearest neighbor"" scaling option for Image Control (similar to RenderOptions.BitmapScalingMode in WPF)",0
0,Enable collection of custom ETW events to .etl files,0
0,Make it harder to decompile sources from appx packages,0
0,Create option to allow Periodic Agents to run even if app has not been opened for x days,0
0,Have a AI helper available like the old windows gateway computer,0
0,OnlineIdAuthenticator with CredentialPromptType.RetypeCredentials allows empty password,0
0,Add controls for Paging in UWP using Datagrid,0
0,By helping the testers better understand the criteria.,0
0,Fix the title text font weight on the default page templates.,0
0,Use beta apps also on Windows,0
0,Add an option to 'Create dump file' of running process,0
0,Mxplayer for playimg videos in hd,0
0,Please fix the UWP WebView File Upload on Windows 10,0
0,Delete Ink by point control,0
0,we keep getting resuming or loading screen for much longer when switching from one app to another dusing multi tasking.plz improve the speed,0
0,Add an API to retrieve all files from a folder that matches the speed of Win32 call,0
0,Add dragging event for MapIcon.,0
0,Estimated payout of reserved total,0
0,Get audio frequency data,0
0,Apphub: Allow deletion of push certificates,0
0,emulator set date and time automatically setting pull from host machine,0
0,keep alive connection in background,0
0,Add an ExpirationTime property to the ScheduledToastNotification,0
0,Can't establish connection with FullTrustProcess,0
0,LaunchUriAsync with default video/audio player,0
0,Localization for same translation for different attributes should be able to simplify,0
0,option to show internaional reviews in marketplace,0
0,DataTransferManager TargetApplicationChosen event not supported for WinRT 8.1 phone,0
0,AudioGraph AudioFrame output make me confused!,0
0,MapControl events not raised if overlay with IsHitTestVisible=False,0
0,Integrate one note to dialer and other native apps and Expose api of OneNote so that 3rd party apps can push info,0
0,Improve MIME type support for NFC tags,0
0,Improve handling of NFC tags with multiple NFC records,0
0,Show scrollbars in WebBrowser control,0
0,Make importPfxDataAsync return the imported certificate,0
0,Our app uses UI Access. We are wondering if that is now supported?,0
0,PasswordBox with InputScope=NumericPin locks keyboard for other controls,0
0,"When Bing search results suggests an app, the app should show relavent search results",0
0,How to implement IGraphicsEffectSource,0
0,Please provide support for adobe air runtime !,0
0,Add movies and books would be an excellent addition for the system !,0
0,inform Microsoft to include a good UI for the dashboard and to make some arrangement to display total downloads in the main page,0
0,Change UserAway and UserPresent System Triggers,0
0,Provide a way to disable roaming on a specific PasswordCredential,0
0,Sound Clips Through MMS,0
0,"Get back the Offiline Symbols download,",0
0,Allow VirtualLock API from UWP apps,0
0,UWP: LauchedArguments to contain info about the state of the tile,0
0,Get a New TV Advertising company for UK,0
0,[Bug] DataTemplate referencing  POCO from another project in the solution,0
0,Add right to left orientation for text and pages support in windows phone studio app website.,0
0,Provide Sketch files for templates,0
0,Save message typed as draft when exiting without saving,0
0,LiveSDK on Windows Phone 8.1,0
0,Adaptive Tiles: optional elements and priority,0
0,APIs to control vibration / haptic feedback,0
0,Multiple issues with NeighboringFilesQuery and file system indexer,0
0,Windows developer account registration doesn't support prepaid visa card,0
0,Faster OS updates (with API and API behavioral fixes),0
0,Support generic excludePaths in app URI handlers,0
0,DatePickerFlyout: selected date not updated from source,0
0,"Choser for dialer, and choser for call history",0
0,I want to submit an app to the store via a command line,0
0,With Sets should come some clear and carefully set out guidance for App UI and Top Bars in apps,0
0,can you please create a nectar card app,0
0,Contact Class problem on Windows 8.1 and Windows phone 8.1,0
