0,663_3, Please enable removing language code from the Dev Center language history For example if you ever selected ru and ru ru laguages and you published this xap to the Store then it causes Tile localization to show the en us default tile localization which is bad ,1
1,663_4, Note in your csproj file there is a SupportedCultures entry like this SupportedCultures de DE ru ru Ryou SupportedCultures When I removed the ru language code and published my new xap version the old xap version still remains in the Store with Replaced and unpublished ,0
2,664_1, Wich means the new version not fully replaced the old version and this causes me very serious problems ,0
3,664_2, Some of my users will still receive the old xap version of my app ,0
4,664_3, The store randomly gives the old xap or the new xap version of my app ,0
5,664_4, My app has a WP version and a WP version XAP in the same submission ,0
6,664_5, The wp xap works only on WP and the wp xap works only for WP ,0
7,665_1, Sometimes the Store gives the wrong wp xap version of my app to Windows Phone users ,0
8,665_2, It should be an option to remove the ru language code from my app ' language History ' or an option to completly replace Fully replace the prevoius es xap s ,1
9,665_3, Currently if you ever mistakenly selected a ru language than you will be in a very bad situation forever You can live with the wrong Tile displayed for Russian language in the Store the english one or You can publish an update with the removed ru language but this update will not fully replace the old version and you will in truble ,0
10,665_5, emsad the store will randomly deliver the old wrong version of your xap ,0
11,665_6, I write a lot support ticket on this but no one really cares on this issue ,0
12,665_7, The engineering team can solve this issue if they do one of the following ,0
13,665_8, Provide a workaround for removing the ru language from the language history I have no need for ru culture just for ru ru but there is no way to remove ru from the language history if you ever posted your app with ru language support ,1
14,665_9, Or add and implement an AppResLib dll xxxx mui for the ru language culture In the documentation AppResLib dll xxxx mui exist only for ru ru and not for ru culture url Thanks Tom Please enable removing language code from the Dev Center language history For example if you ever selected ru and ru ru laguages and you published this xap to the Store then it causes Tile localization to show the en us default tile localization which is bad ,1
15,665_10, Wich means the new version not fully replaced the old version and this causes me very serious more ,0
16,666_1, When I driving my car and need to make call at percent of times the phone use vocal commands for starting bing search instead of call contact ,0
17,667_1, But if I press power button and unlock device and open phone and say call person name device start calling correctly ,0
18,667_2, This in driving mode activated ,0
19,667_3, Also in italian translation after reading sms the device say fatto for ending operation but work only if I say ho finito ,0
20,667_4, If I say fatto vocal command unrecognized ,0
21,667_5, Other little bugs with my lumia before first WP upgrade work fine with vocal commands but from first upgrade to now is bad ,0
22,667_6, Do not recognize commands ,0
23,667_7, But my old wp work fine using same bt sony car stereo ,0
24,667_8, Other little bugs with my lumia before first WP upgrade work fine with vocal commands but from more ,0
25,667_9, Outlook color schemes ,0
26,667_10, Settings current live tile Size and More ,0
27,667_11, Open the network settings and tap on call settings ,0
28,667_12, Hit the power button to go to sleep mode ,0
29,667_13, Wait for minutes and switch on the mobile again ,0
30,667_14, The window will be blank with only heading on it ,0
31,667_15, percent reproducible on Lumia cyan update ,0
32,668_1, I always use this feature please fix ASAP ,1
33,668_2, Seems there is an issue with the sd card in WP Preview ,0
34,669_1, Its getting annoying Please fix this ,1
35,669_2, I have been working on an LOB for my field of engineering civil structural ,0
36,669_3, The point is to make the app universal across devices so that our engineers do not have to spend too much time learning and relearning the controls ,0
37,669_4, And because the same app runs on tablets and computer is our engineers can work in the field come back to their office and continue working with the same data on their computer is ,0
38,670_1, Because of windows and windows phone universal app I am hoping to adapt the app to windows phone as well ,0
39,671_1, All the saved and live data are saved on onedrive to allow roaming between the devices ,0
40,672_1, But I have found that windows phone file picker does not have access to onedrive and there is no futureaccesslist ,0
41,672_2, This aspect alone prevents any adaptation of my app to the windows phone platform ,0
42,672_3, Please allow windows phone file folder picker to have access to onedrive and store the location in futureaccesslist ,1
43,673_1, Also please allow onedrive folder to be stored locally like winrt ,1
44,673_2, Otherwise it is not a real universal app ,0
45,673_3, All the saved and live data are more ,0
46,674_1, So far i have tried three different apps and I cannot access my pre windows phone photos ,0
47,674_2, This needs fixing as a number priority ,1
48,674_3, It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that ,1
49,675_1, in wp dev preview theres a bug with the push service ,0
50,676_1, when i m on mobile data connection i get all my notifications when i m on wifi there is no connection to the push server ,0
51,676_2, no i found a workaround for myself when i turn off the mobile data connection manually the push over wifi works ,0
52,676_3, but on wp gdr the system recognized automaticly wich connection i m using and turn the push service automaticly on cellular or on wifi ,0
53,676_4, everytime it works with wp dev preview it doesn t ,0
54,676_5, When I try to insert a new Bank Account I receive an error because there is a validation that the Bank Account should be in the same Country of my account ,0
55,676_6, I think this is not correct because using Paypal I can receive money in another country but I do not want pay extra costs for Paypal and also i can insert my tax plan in a country different of my country in my account ,0
56,676_7, Please remove that validation or validate according with my tax plan and not my country in the account ,1
57,676_8, there is another post that I voted because I can not change the country in my account ,0
58,676_9, there is another post that I voted more ,0
59,676_10, I did a report on in app purchases today and noticed that every line item shows an app version of which most certainly is not the case ,0
60,676_11, Make Bing Vision lens in the camera app pinnable to Start for quick access again and or add it to the Cortana screen to the left of the Music Search button perhaps ,0
61,676_12, In Windows Phone we were able directly access facebook through the people hub ,0
62,677_1, Comment on photos write on walls without having to enter the facebook app ,0
63,679_1, We were also able to switch between text messages and Facebook messages on the fly ,0
64,679_2, Now with WIndows Phone the app ALWAYS has to open ,0
65,679_3, On my Lumia it takes significantly longer to do that now ,0
66,680_1, IT ' S SLOW ,0
67,680_2, Please bring back the simplicity and efficiency of Windows Phone ,1
68,680_3, While I was building a web application I have noticed that single page applications with this url url will display blank page and only a refresh will load the page again can you please check that ,1
69,680_4, It would be great if you would add a RemoteId to the calendars ,1
70,680_5, appointments have a RemoteId but calendars do not ,0
71,681_1, It would be easier to sync calendars if they have a RemoteId like appointments ,0
72,681_2, When the application is unpublished by Microsoft the reason in sent by email ,0
73,681_3, When the email is not received like in my case the developer does not know the reason ,0
74,681_4, However this can be easily fixed by writing it in Dev Center ,0
75,681_5, In WinRT the TileBrush class is missing the TileMode and View properties that are present in other frameworks like WPF and Silverlight ,0
76,681_6, Please add these properties so that we can support image tiling properly ,1
77,681_7, There are tons of requests for this over the past years ,0
78,681_8, See this thread for an example url ,0
79,681_9, The Lockscreen text attribute should be separated out from Tile attributes ,1
80,681_10, To provide lockscreen text it is necessary to use the WideBackContent attribute on the Flip tile ,0
81,681_11, But if you have generated a custom tile and or you do not want the tile to flip then you cannot use the lockscreen text feature ,0
82,682_1, I am trying to use the API for Contacts in the namespace Windows ApplicationModel Contacts but it does not work as expected ,0
83,682_2, First of all on Windows Phone I always get an IOException when trying to call PickContactAsync ,0
84,682_3, This is very strange since I was expecting to see at least Contacts app to be launched seems there is some problem establishing the contract ,0
85,683_1, I also checked the Contacts permission was enabled on the Package appxmanifest ,0
86,683_2, On Windows RT che call to the PickContactAsync works but I receive wrong data instaed for example FirstName and LastName are both in FirstName and LastName is empty the ImportantDates example ,0
87,683_3, Birthday are always set to low values like but if I try to navigate the contacts through Outlook com or Contacts People app I can see the right values ,0
88,683_4, Maybe I am missing something but this API seems to be broken ,0
89,683_5, On Windows RT che call to the PickContactAsync works but I receive wrong data instaed for example FirstName and LastName are both in FirstName and LastName is more ,0
90,683_6, Although it is possible to define custom ETW events and to generate those events the publicly available tooling does not currently provide a way to get access to these events ,0
91,683_7, The Windows Phone Developer Power Tools only enable collection of predefined profiles that use certain system events ,0
92,683_8, There appears to be no way to tell it to collect data from your own custom event sources ,0
93,683_9, So although in example NET based store apps the System Diagnostics Tracing EventSource class is available and can be used to generate custom ETW events there does not appear to be any point to this at the moment because you can not actually record those events in a trace ,0
94,683_10, Just to be clear this is not a duplicate of url as a reply in that thread points out you can already log ETW events from a WP app ,0
95,684_1, What I want is the ability to record those alongside system provided ETW events so that I can see how my code is activity fits in with system behaviour ,1
96,684_2, So although in example NET based store apps the System Diagnostics Tracing EventSource class is available and can be used to generate custom ETW events there does not appear to be any point to this at the moment because you more ,0
97,684_3, Please get back the old OneDrive integration to windows phone ,1
98,685_1, It used to sync so fast and was able to view the pictures under photo albums easily ,0
99,685_2, And now the app takes long time to load ,0
100,685_3, The same happened with Facebook integration ,0
101,685_4, It used to be good on ,0
102,686_1, We could minimize or maximize the pictures but now we can only maximize ,0
103,686_2, I purchased the windows phone because of the smooth integration but now we are slowly moving towards apps and no OS integration ,0
104,687_1, Microsoft provide a system event SmsReceived for app to be notified when a SMS received we also need such event for phone call such as PhoneReveived ,0
105,687_2, Moreover it is better to have read only API for phone call history so developer can help to make better phone call related app like Android ,1
106,687_3, make the mapicon of the windows phone sdk able to be on top by the use of zindex make the event tapped accessible for mapicon too ,0
107,687_4, Allow the messaging application to join in the default messaging application Hub Message for full interaction ,1
108,687_5, applications use the API of the Hub message for send view delete etc SMS The message Hub uses the API of others applications for the same thing send view delete etc messages ,0
109,687_6, This means that the developper have the ablity to implement other application APIs in the message hub and use it ,0
110,687_7, We need Windows Phone to synchronize it is clock via the internet ,1
111,687_8, In some countries this does not work via provider services ,0
112,687_9, Include an API to add remove deactivate tracking protection lists TPL to further drive down data usage enable selective protection against rogue sites tracking and just having a sense of control ,1
113,687_10, Just like on desktop IE ,0
114,687_11, Provide more help with understand text that coming from cortanan ,1
115,687_12, things i think about is like understanding dates and times ,0
116,687_13, when planning a new agenda item for example this is done nicely ,0
117,687_14, Pivot and panorama controls should have options to enable disable wrapping ,0
118,687_15, Also the scroll viewer should have options to disable overscrolling effect ,0
